Dia,Fecha,Hora,Programa,Dispositivo,IP
Tuesday,2025-12-16,12:25:14,TI Organizaciones,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",127.0.0.1
Tuesday,2025-12-16,13:19:45,TI Organizaciones,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",127.0.0.1
Tuesday,2025-12-16,13:21:12,TI Organizaciones,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",127.0.0.1
Tuesday,2025-12-16,13:37:35,Administración,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",127.0.0.1
Tuesday,2025-12-16,13:59:56,Contabilidad,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",127.0.0.1
Tuesday,2025-12-16,14:02:16,Ingeniería de Software,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",127.0.0.1
Tuesday,2025-12-16,14:02:32,Ingeniería de Software,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",127.0.0.1
Tuesday,2025-12-16,14:03:53,Ingeniería de Software,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",127.0.0.1
Tuesday,2025-12-16,14:07:12,TI Organizaciones,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",127.0.0.1
Tuesday,2025-12-16,14:08:13,TI Organizaciones,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",127.0.0.1
Tuesday,2025-12-16,14:09:09,Ingeniería de Software,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",127.0.0.1
Tuesday,2025-12-16,14:09:43,Ingeniería de Software,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",127.0.0.1
Tuesday,2025-12-16,14:11:44,Ingeniería de Software,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",127.0.0.1
Tuesday,2025-12-16,14:24:07,Administración,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",127.0.0.1
Tuesday,2025-12-16,14:25:44,Ciencias Políticas,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",127.0.0.1
Tuesday,2025-12-16,14:26:04,Ingeniería de Software,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",127.0.0.1
Tuesday,2025-12-16,14:26:07,Gestión,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",127.0.0.1
Tuesday,2025-12-16,14:40:05,Contabilidad,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",127.0.0.1
Tuesday,2025-12-16,14:40:58,TI Organizaciones,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",127.0.0.1
Tuesday,2025-12-16,14:41:43,Gestión,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",127.0.0.1
Tuesday,2025-12-16,15:09:28,Ciencias Políticas,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",127.0.0.1
